,Date,Open,High,Low,Price,Volume
230,2016-10-07,581.0,582.75,566.1,569.7,374081
231,2016-10-10,573.6,583.65,572.75,580.55,125211
232,2016-10-13,595.0,598.9,580.0,581.85,351329
233,2016-10-14,585.0,589.8,584.5,586.55,92948
234,2016-10-17,589.95,591.55,583.5,584.45,170452
235,2016-10-18,589.45,592.2,583.0,591.2,135477
236,2016-10-19,592.0,597.9,592.0,594.9,109966
237,2016-10-20,596.3,600.1,593.75,595.05,86560
238,2016-10-21,594.75,596.5,570.3,582.75,168891
239,2016-10-24,583.0,593.95,582.25,585.05,93476
240,2016-10-25,588.6,593.75,583.6,585.3,59308
241,2016-10-26,583.65,584.2,575.1,577.3,81501
242,2016-10-27,577.35,586.45,572.0,584.6,105230
243,2016-10-28,585.0,586.7,573.05,574.45,61532
244,2016-10-30,580.1,580.1,575.15,577.35,16383
245,2016-11-01,578.0,579.2,570.25,571.05,73175
246,2016-11-02,570.0,570.0,556.0,558.8,413322
247,2016-11-03,557.5,563.95,557.0,559.05,74992
248,2016-11-04,557.75,565.55,538.5,544.5,194226
249,2016-11-07,550.0,555.5,544.0,545.75,100459
250,2016-11-08,546.0,550.0,531.4,536.25,127338
251,2016-11-09,512.0,533.0,487.5,528.1,253682
252,2016-11-10,546.0,572.0,545.25,567.9,323848
253,2016-11-11,560.0,564.25,546.0,547.0,94023
254,2016-11-15,554.0,560.05,529.0,552.0,109404
255,2016-11-16,562.0,562.0,535.0,535.1,129375
256,2016-11-17,540.0,549.2,536.05,544.7,54021
257,2016-11-18,540.0,555.9,540.0,549.75,92275
258,2016-11-21,551.45,553.75,542.0,544.95,53121
259,2016-11-22,548.25,558.95,544.0,549.75,89724
260,2016-11-23,555.85,558.8,547.85,552.2,132750
261,2016-11-24,550.7,557.9,546.0,553.65,70178
262,2016-11-25,555.0,568.65,549.1,563.35,124118
263,2016-11-28,570.0,577.0,567.8,570.55,167170
264,2016-11-29,573.0,573.0,564.95,568.3,93721
265,2016-11-30,569.0,572.2,565.0,566.55,41793
266,2016-12-01,570.25,580.0,567.0,568.15,103541
267,2016-12-02,565.05,573.0,565.05,571.4,87823
268,2016-12-05,571.4,580.7,571.4,573.2,84957
269,2016-12-06,576.0,580.0,571.0,574.95,71788
270,2016-12-07,578.0,578.0,569.05,570.4,77417
271,2016-12-08,571.85,584.9,571.0,581.8,150956
272,2016-12-09,583.95,585.0,576.0,579.3,70165
273,2016-12-12,577.1,581.0,572.55,573.2,38005
274,2016-12-13,573.25,581.0,570.6,578.2,38066
275,2016-12-14,578.55,579.5,565.0,569.0,71548
276,2016-12-15,570.05,576.2,560.0,561.6,118845
277,2016-12-16,562.0,569.75,561.25,569.0,45830
278,2016-12-19,566.0,573.05,561.75,568.45,90328
279,2016-12-20,573.0,574.5,561.0,562.5,87440
280,2016-12-21,565.0,567.2,561.8,562.85,110187
281,2016-12-22,563.0,566.2,559.1,560.2,44651
282,2016-12-23,562.15,588.65,552.55,582.75,282188
283,2016-12-26,582.0,582.0,548.3,553.95,220631
284,2016-12-27,558.0,565.65,556.25,562.9,89347
285,2016-12-28,564.35,572.35,561.15,563.5,56201
286,2016-12-29,564.15,567.7,562.35,564.1,53293
287,2016-12-30,573.1,573.1,565.75,568.2,81529
288,2017-01-02,569.45,572.4,563.45,565.9,52675
289,2017-01-03,567.0,576.7,562.65,574.15,213590
290,2017-01-04,573.95,576.0,566.0,568.1,81156
291,2017-01-05,569.65,581.0,569.55,579.65,77157
292,2017-01-06,580.35,585.45,577.55,582.15,63592
293,2017-01-09,582.95,588.45,575.5,576.8,84490
294,2017-01-10,577.0,582.5,574.05,575.0,58650
295,2017-01-11,577.25,579.4,570.0,578.0,71018
296,2017-01-12,572.3,588.45,568.5,586.15,95972
297,2017-01-13,588.25,589.0,579.8,584.9,38099
298,2017-01-16,580.0,590.9,579.3,587.0,61854
299,2017-01-17,590.0,591.5,581.35,587.0,58895
300,2017-01-18,595.0,595.0,579.5,581.3,101999
301,2017-01-19,585.0,587.55,574.15,579.75,55036
302,2017-01-20,579.75,592.5,574.5,575.85,123345
303,2017-01-23,574.9,582.5,573.8,576.85,77437
304,2017-01-24,576.0,581.3,574.5,579.8,25176
305,2017-01-25,582.9,587.45,578.0,584.7,29188
306,2017-01-27,587.0,590.0,579.55,580.25,45116
307,2017-01-30,579.5,583.5,577.8,580.95,59539
308,2017-01-31,582.0,582.0,571.5,579.8,26444
309,2017-02-01,574.8,578.7,566.55,576.0,41927
310,2017-02-02,576.0,585.75,567.9,583.95,125057
311,2017-02-03,585.0,611.35,580.55,608.35,318324
312,2017-02-06,610.0,621.9,598.35,599.2,282284
313,2017-02-07,601.0,607.45,594.8,597.3,110272
314,2017-02-08,599.0,607.7,598.95,602.95,170208
315,2017-02-09,612.0,612.0,584.85,587.0,374719
316,2017-02-10,590.0,594.0,577.4,579.35,134040
317,2017-02-13,581.25,585.6,575.7,581.3,113784
318,2017-02-14,582.05,586.3,574.85,576.75,49759
319,2017-02-15,577.05,578.0,571.15,573.35,51530
320,2017-02-16,576.95,585.0,574.75,583.4,67834
321,2017-02-17,585.2,596.1,581.9,592.6,175139
322,2017-02-20,592.6,597.45,582.8,592.0,82601
323,2017-02-21,595.0,595.0,588.75,592.6,41998
324,2017-02-22,592.6,592.65,585.0,585.2,52158
325,2017-02-23,590.0,595.0,586.0,591.6,37139
326,2017-02-27,592.0,595.0,581.8,587.9,81630
327,2017-02-28,588.0,592.2,582.0,582.0,59103
328,2017-03-01,586.7,592.7,585.0,587.85,45139
329,2017-03-02,588.8,591.6,586.05,588.15,49953
330,2017-03-03,587.05,596.0,585.0,587.55,78072
331,2017-03-06,592.0,594.7,587.0,589.25,68753
332,2017-03-07,592.0,592.0,586.0,587.6,55869
333,2017-03-08,592.3,593.0,584.3,589.95,108138
334,2017-03-09,589.0,593.0,575.0,587.35,107602
335,2017-03-10,587.0,591.5,585.2,587.9,83101
336,2017-03-14,595.0,601.0,589.85,598.55,188373
337,2017-03-15,601.55,605.0,597.7,598.75,133561
338,2017-03-16,603.65,605.0,598.2,600.0,143317
339,2017-03-17,605.0,605.0,594.0,596.05,64609
340,2017-03-20,597.85,601.3,594.15,596.55,48365
341,2017-03-21,597.0,597.75,590.1,592.65,61599
342,2017-03-22,590.0,597.7,588.0,594.5,750209
343,2017-03-23,595.0,598.6,583.75,596.0,95421
344,2017-03-24,592.5,597.75,591.5,593.25,212311
345,2017-03-27,595.0,595.0,590.1,592.0,855375
346,2017-03-28,592.55,595.5,591.3,593.95,31164
347,2017-03-29,597.3,597.3,591.05,592.4,47783
348,2017-03-30,593.0,599.5,592.15,599.1,106405
349,2017-03-31,597.6,597.6,589.65,592.3,116048
350,2017-04-03,593.4,594.7,590.5,591.75,75068
351,2017-04-04,599.0,599.0,599.0,599.0,1
352,2017-04-05,600.0,600.55,590.55,592.65,176599
353,2017-04-06,592.0,593.75,587.1,588.5,64971
354,2017-04-07,590.05,593.25,585.1,588.75,83025
355,2017-04-10,591.0,594.0,587.1,588.55,1838960
356,2017-04-11,591.0,591.75,575.25,578.8,1957659
357,2017-04-12,579.7,581.0,571.0,577.85,101941
358,2017-04-13,583.0,583.0,574.5,576.25,115671
359,2017-04-17,578.55,579.45,573.0,576.3,26242
360,2017-04-18,576.3,577.5,573.3,574.3,57545
361,2017-04-19,575.1,577.0,572.5,577.0,92704
362,2017-04-20,576.25,577.0,573.25,573.95,48376
363,2017-04-21,573.95,573.95,562.2,563.4,56176
364,2017-04-24,563.8,563.8,554.6,556.1,690830
365,2017-04-25,557.0,560.95,550.0,552.85,51441
366,2017-04-26,548.0,561.4,545.75,555.1,121310
367,2017-04-27,561.0,563.2,555.2,561.25,75338
368,2017-04-28,560.75,560.75,555.95,556.8,92166
369,2017-05-02,556.8,558.75,552.5,554.5,382952
370,2017-05-03,552.0,558.0,552.0,554.6,413034
371,2017-05-04,556.0,556.0,547.65,549.65,61367
372,2017-05-05,550.0,552.85,543.4,548.6,359329
373,2017-05-08,550.0,554.0,546.1,553.45,89176
374,2017-05-09,555.0,555.0,545.1,551.55,53294
375,2017-05-10,554.95,561.7,551.5,560.55,826196
376,2017-05-11,564.8,564.9,559.1,561.0,38066
377,2017-05-12,561.0,570.0,557.0,567.85,163469
378,2017-05-15,566.45,571.65,561.05,566.25,44945
379,2017-05-16,567.05,569.5,563.25,563.55,46915
380,2017-05-17,565.5,565.75,559.1,559.1,281501
381,2017-05-18,558.75,564.75,556.95,558.65,326542
382,2017-05-19,560.2,565.3,558.4,563.45,48174
383,2017-05-22,566.3,567.3,551.9,556.9,38385
384,2017-05-23,559.2,559.2,531.0,533.15,142831
385,2017-05-24,533.15,536.3,515.25,520.35,118959
386,2017-05-25,522.4,525.2,497.4,504.1,262355
387,2017-05-26,482.0,503.55,480.8,491.6,1498785
388,2017-05-29,494.0,506.0,488.65,504.15,220203
389,2017-05-30,505.0,517.5,503.0,511.1,112667
390,2017-05-31,514.8,519.0,506.0,514.6,232372
391,2017-06-01,514.9,530.0,513.7,516.4,105195
392,2017-06-02,525.8,532.7,519.75,528.65,142758
393,2017-06-05,530.1,536.7,528.95,533.9,88511
394,2017-06-06,534.0,538.2,523.0,533.6,60452
395,2017-06-07,536.1,542.95,530.9,539.4,79301
396,2017-06-08,539.85,555.0,537.65,548.95,171275
397,2017-06-09,555.0,555.05,545.25,550.0,72488
398,2017-06-12,550.2,554.85,545.1,552.25,48561
399,2017-06-13,553.0,554.45,549.2,552.9,58379
400,2017-06-14,551.05,553.5,537.0,538.65,108257
401,2017-06-15,540.1,551.45,537.0,549.15,70984
402,2017-06-16,546.6,551.45,534.15,536.0,70813
403,2017-06-19,537.0,541.8,524.8,539.15,245543
404,2017-06-20,541.35,549.0,536.0,545.5,103523
405,2017-06-21,547.85,547.85,536.05,540.95,54010
406,2017-06-22,541.0,545.55,537.55,539.25,82015
407,2017-06-23,540.0,543.75,537.7,541.0,45394
408,2017-06-27,544.0,551.05,533.3,534.9,80925
409,2017-06-28,533.0,538.45,531.9,537.05,28376
410,2017-06-29,539.45,545.45,534.75,544.75,1295071
411,2017-06-30,544.0,557.85,542.25,554.35,86574
412,2017-07-03,570.0,570.0,547.95,551.05,81242
413,2017-07-04,580.8,580.8,543.25,544.0,210277
414,2017-07-05,545.95,547.7,542.2,545.0,83042
415,2017-07-06,542.3,547.75,540.3,543.9,193964
416,2017-07-07,542.0,552.0,542.0,546.05,643008
417,2017-07-10,547.15,552.45,546.5,550.0,325354
418,2017-07-11,549.2,552.2,536.1,538.15,153588
419,2017-07-12,539.25,543.15,537.45,539.2,67042
420,2017-07-13,541.0,544.2,539.1,542.15,52435
421,2017-07-14,543.25,550.75,541.75,547.35,109755
422,2017-07-17,548.05,558.0,546.95,555.9,79921
423,2017-07-18,555.9,566.85,555.0,560.0,191484
424,2017-07-19,563.0,569.25,561.65,568.15,48663
425,2017-07-20,569.0,576.85,563.3,569.1,80739
426,2017-07-21,571.6,571.6,560.15,566.1,47220
427,2017-07-24,569.0,575.0,561.5,569.55,67892
428,2017-07-25,571.0,571.0,562.15,565.0,37251
429,2017-07-26,565.0,577.05,562.65,574.8,101298
430,2017-07-27,574.9,578.95,566.1,569.45,101125
431,2017-07-28,568.3,571.2,557.15,568.5,61703
432,2017-07-31,568.5,568.5,557.0,558.65,43037
433,2017-08-01,560.75,564.9,558.7,564.9,48412
434,2017-08-02,562.0,569.0,560.05,568.95,28556
435,2017-08-03,569.0,575.0,554.0,554.25,90460
436,2017-08-04,550.0,569.9,543.3,565.0,92240
437,2017-08-07,580.0,580.0,562.5,565.15,56864
438,2017-08-08,564.0,580.0,564.0,578.25,114725
439,2017-08-09,579.9,579.9,558.0,558.0,110138
440,2017-08-10,561.9,569.5,541.85,548.0,103100
441,2017-08-11,543.0,563.0,526.3,542.7,309215
442,2017-08-14,560.0,575.4,554.6,570.0,358843
443,2017-08-16,569.0,594.0,562.0,590.2,191236
444,2017-08-17,591.0,592.4,571.1,573.35,112321
445,2017-08-18,573.0,575.6,561.0,565.7,95191
446,2017-08-21,566.0,569.9,555.7,560.75,114541
447,2017-08-22,565.4,567.0,558.0,559.15,74538
448,2017-08-23,561.4,564.5,557.5,557.5,44277
449,2017-08-24,558.7,575.0,558.0,573.4,194556
450,2017-08-28,575.05,580.65,570.55,572.75,43582
451,2017-08-29,573.8,573.8,565.2,570.7,47156
452,2017-08-30,573.0,575.75,565.6,566.85,23816
453,2017-08-31,578.8,578.8,563.4,575.0,41360
454,2017-09-01,574.0,577.35,566.0,568.0,56566
455,2017-09-04,571.55,577.2,558.1,561.95,98163
456,2017-09-05,565.25,565.45,557.65,559.85,48903
457,2017-09-06,560.0,560.65,555.0,556.65,109893
458,2017-09-07,558.15,560.55,551.05,551.5,65289
459,2017-09-08,556.6,558.25,548.0,550.65,68218
460,2017-09-11,557.0,558.0,550.05,551.85,55033
461,2017-09-12,555.3,561.75,544.0,559.4,127882
462,2017-09-13,560.0,562.5,552.9,554.3,113926
463,2017-09-14,555.0,566.7,555.0,564.8,111218
464,2017-09-15,563.45,565.35,556.5,561.55,50307
465,2017-09-18,562.0,572.35,560.85,570.05,97011
466,2017-09-19,570.05,574.85,564.55,573.5,56348
467,2017-09-20,574.5,574.5,565.25,574.4,64378
468,2017-09-21,571.9,592.95,571.15,591.45,279818
469,2017-09-22,592.0,598.8,581.0,581.1,168622
470,2017-09-25,590.0,594.4,566.25,578.0,126716
471,2017-09-26,580.25,581.45,570.75,578.15,61801
472,2017-09-27,579.0,579.4,564.0,568.0,44125
473,2017-09-28,567.0,585.0,564.0,581.5,68238
474,2017-09-29,588.0,591.4,577.3,584.95,147056
475,2017-10-03,590.0,590.0,576.9,579.75,122616
476,2017-10-04,581.0,587.25,579.75,582.3,70588
477,2017-10-05,582.1,589.8,582.05,583.6,80643
478,2017-10-06,584.95,588.85,582.95,585.0,31185
479,2017-10-09,585.0,594.5,582.1,585.45,77313
480,2017-10-10,586.0,592.9,585.55,589.3,62228
481,2017-10-11,592.0,593.2,580.0,584.95,55098
482,2017-10-12,589.05,592.5,580.5,590.05,44775
483,2017-10-13,590.05,597.0,588.3,592.1,51502
484,2017-10-16,593.1,608.0,593.1,606.45,194787
485,2017-10-17,605.9,633.95,602.4,631.25,177825
486,2017-10-18,631.5,631.5,609.1,610.7,101280
487,2017-10-19,614.9,615.5,605.1,610.0,19824
488,2017-10-23,612.0,619.8,590.5,593.7,115954
489,2017-10-24,600.0,600.3,592.5,595.25,58947
490,2017-10-25,598.05,603.75,590.35,593.55,39431
491,2017-10-26,595.15,616.0,592.05,612.4,113861
492,2017-10-27,624.0,629.0,616.3,623.3,277967
493,2017-10-30,624.0,630.45,616.2,626.65,157287
494,2017-10-31,628.0,633.8,621.8,626.15,72875
495,2017-11-01,630.0,633.25,621.55,622.2,170923
496,2017-11-02,626.0,642.0,626.0,633.55,231871
