,Date,Open,High,Low,Price,Volume
181,2016-07-27,1380.0,1398.0,1371.5,1387.8,158867
182,2016-07-28,1394.6,1409.85,1375.0,1401.25,139673
183,2016-07-29,1403.0,1406.95,1373.05,1374.35,150938
184,2016-08-01,1382.55,1396.85,1367.0,1374.5,166309
185,2016-08-02,1374.0,1374.0,1335.5,1341.95,64705
186,2016-08-03,1342.0,1342.0,1317.0,1325.25,91630
187,2016-08-04,1330.0,1331.7,1314.0,1321.35,152183
188,2016-08-05,1327.35,1350.0,1323.9,1340.45,880032
189,2016-08-08,1350.0,1370.5,1345.75,1363.3,67455
190,2016-08-09,1375.0,1375.0,1332.05,1342.0,166967
191,2016-08-10,1343.0,1349.0,1325.0,1339.95,63517
192,2016-08-11,1335.0,1352.7,1330.7,1348.75,88262
193,2016-08-12,1355.0,1381.0,1352.8,1378.6,86602
194,2016-08-16,1379.0,1383.65,1349.1,1359.8,93433
195,2016-08-17,1355.0,1371.75,1354.0,1365.4,28724
196,2016-08-18,1377.5,1377.5,1364.4,1370.5,48825
197,2016-08-19,1372.5,1375.0,1360.0,1369.65,70767
198,2016-08-22,1360.0,1380.8,1360.0,1377.75,36830
199,2016-08-23,1384.0,1384.0,1364.0,1376.05,920985
200,2016-08-24,1385.0,1387.7,1366.75,1384.25,297363
201,2016-08-25,1384.25,1389.5,1352.5,1357.6,59384
202,2016-08-26,1362.0,1370.85,1349.35,1366.95,69226
203,2016-08-29,1364.35,1379.5,1358.0,1375.1,52902
204,2016-08-30,1377.6,1410.0,1368.45,1392.3,80660
205,2016-08-31,1392.0,1413.75,1392.0,1406.15,71029
206,2016-09-01,1410.0,1427.4,1405.55,1421.9,66653
207,2016-09-02,1421.0,1441.6,1421.0,1438.0,618244
208,2016-09-06,1450.0,1461.85,1442.75,1454.9,117393
209,2016-09-07,1455.0,1463.25,1418.5,1427.7,52756
210,2016-09-08,1433.0,1443.2,1428.7,1435.25,32652
211,2016-09-09,1437.35,1437.35,1398.0,1410.85,95257
212,2016-09-12,1400.0,1401.25,1373.25,1394.65,66348
213,2016-09-14,1389.95,1397.9,1378.35,1390.5,248639
214,2016-09-15,1395.55,1414.0,1390.0,1409.1,65947
215,2016-09-16,1414.65,1416.35,1392.1,1400.35,323730
216,2016-09-19,1399.5,1401.95,1387.0,1394.1,134089
217,2016-09-20,1390.1,1397.95,1383.0,1397.95,26159
218,2016-09-21,1390.0,1406.0,1388.5,1396.95,252642
219,2016-09-22,1406.35,1418.0,1404.2,1416.0,71558
220,2016-09-23,1420.0,1427.15,1412.55,1421.15,159410
221,2016-09-26,1421.0,1421.0,1404.0,1415.7,443917
222,2016-09-27,1414.55,1422.5,1406.0,1420.45,30954
223,2016-09-28,1415.0,1432.0,1415.0,1422.95,34288
224,2016-09-29,1432.0,1432.45,1392.55,1400.1,70260
225,2016-09-30,1400.0,1400.0,1383.0,1393.05,27215
226,2016-10-03,1395.0,1428.9,1387.0,1423.0,66342
227,2016-10-04,1424.6,1433.9,1417.0,1426.3,31051
228,2016-10-05,1440.0,1440.0,1414.0,1420.8,22285
229,2016-10-06,1424.9,1433.0,1420.0,1423.8,29616
230,2016-10-07,1423.6,1423.6,1398.6,1408.0,106284
231,2016-10-10,1411.0,1411.0,1386.2,1392.05,23373
232,2016-10-13,1385.0,1385.0,1335.0,1338.45,87715
233,2016-10-14,1340.0,1354.0,1315.65,1319.2,53778
234,2016-10-17,1320.7,1320.75,1298.55,1304.85,498430
235,2016-10-18,1310.0,1354.0,1308.15,1351.8,357429
236,2016-10-19,1357.0,1359.3,1335.95,1343.5,157984
237,2016-10-20,1349.0,1367.0,1347.05,1359.05,50026
238,2016-10-21,1360.0,1360.0,1331.5,1336.5,65570
239,2016-10-24,1338.0,1365.0,1333.5,1351.65,50492
240,2016-10-25,1345.0,1349.7,1328.0,1339.8,31004
241,2016-10-26,1340.0,1344.0,1320.0,1335.95,89116
242,2016-10-27,1335.95,1384.65,1329.55,1370.2,164992
243,2016-10-28,1371.0,1390.0,1363.35,1388.1,48192
244,2016-10-30,1395.0,1398.0,1375.25,1375.25,13436
245,2016-11-01,1381.05,1431.1,1377.7,1412.0,230003
246,2016-11-02,1400.0,1409.0,1392.95,1403.9,108010
